1133;柴埕市民活動中心;38;11;新店區;24.966775;121.516479;安民街/安民街65巷;Xindian Dist.;Chaicheng Civic Activity Center;Anmin St./Ln. 65, Anmin St.;
1134;思賢國小;52;27;新莊區;25.046446;121.457716;福樂街66號對面;Xinzhuang Dist.;Si Xian Elementary School;No.66, Fule St. (opposite);
1135;莊敬公園;38;10;板橋區;25.020983;121.470821;萬板路/民生路二段;Banqiao Dist.;Zhuangjing Park;Wanban Rd./Sec. 2, Minsheng Rd.;
1136;豐年國小;34;11;新莊區;25.031278;121.443230;瓊泰路161號對面人行道;Xinzhuang Dist.;Feng-Nian Elementary School;No.161, Qiongtai Rd. (opposite);
1137;新海長江路口;36;8;板橋區;25.02853;121.457367;長江路一段/新海路;Banqiao Dist.;Xinhai & Changjiang Intersection;Sec. 1, Changjiang Rd./Xinhai Rd.;
1138;捷運新埔站(4號出口);50;4;板橋區;25.023491;121.468559;民生路二段250號前人行道;Banqiao Dist.;MRT Xinpu Sta.(Exit.4);No.250, Sec. 2, Minsheng Rd.;
1139;板橋仁愛公園;34;10;板橋區;24.996430;121.459696;國慶路49巷23號對面;Banqiao Dist.;Banqiao Renai Park;Aly. 23, Ln. 49, Guoqing Rd. (opposite);
1140;泰山國小;32;10;泰山區;25.062345;121.431475;泰林路2段257號旁人行道;Taishan Dist.;Taishan Elementary School;No.257, Sec. 2, Tailin Rd.;
1142;光華東帝士;40;12;新莊區;25.010795;121.427836;民安西路370號至376號前;Xinzhuang Dist.;Guanghua dongdishi;No.376 to No.376, Min’an W. Rd.;
1143;廣福公園;38;6;板橋區;24.991643;121.462872;廣權路/廣和街;Banqiao Dist.;Guangfu Park;Guangquan Rd./Guanghe St.;
1144;板橋四維公園;54;6;板橋區;25.025464;121.462633;陽明街251號至259號對面人行道;Banqiao Dist.;Banqiao Siwei Park;No.251 to No.259, Yangming St. (opposite);
1145;捷運頂埔站(2號出口);60;24;土城區;24.959276;121.419008;中央路四段74號至76號對面人行道;Tucheng Dist.;MRT Dingpu Sta.(Exit.2);No.74 to No.76, Sec. 4, Zhongyang Rd. (opposite);
